id,plot,img_name,Mach_Count,Pan_Count,Reg_Count,Spr_Count,Spr_Count_Adj
5005_P4,5005-SC35_14E,13. P4-WOF-Fr.jpg,1588,1026,1609,1786,1748
5009_P1,5009-R9188,1. P1-WOF-Fr.jpg,2282,680,1521,2400,1700
5009_P2,5009-R9188,5. P2-WOF-Fr.jpg,1677,1023,1485,1864,1769
5009_P3,5009-R9188,9. P3-WOF-Fr.jpg,1968,1140,1701,2808,2146
5009_P4,5009-R9188,13. P4-WOF-Fr.jpg,2135,946,1575,2282,2137
5013_P1,5013-RTx2536,1. P1-WOF-Fr.jpg,1647,1424,1834,1965,1774
5013_P2,5013-RTx2536,5. P2-WOF-Fr.jpg,1812,1361,1545,2074,1966
5013_P3,5013-RTx2536,9. P3-WOF-Fr.jpg,1940,1366,1839,2125,2100
5013_P4,5013-RTx2536,13. P4-WOF-Fr.jpg,1800,1179,1619,1803,1880
5017_P1,5017BTx623_DW1,1. P1-WOF-Fr.jpg,1179,1052,1602,1473,1211
5017_P2,5017BTx623_DW1,5. P2-WOF-Fr.jpg,812,897,1708,834,872
5017_P3,5017BTx623_DW1,9. P3-WOF-Fr.jpg,1090,952,1592,1190,1143
5017_P4,5017BTx623_DW1,13. P4-WOF-Fr.jpg,1037,1034,1532,1092,1070
5021_P1,5021-96CD635,1. P1-WOF-Fr.jpg,2043,1364,1656,2100,2164
5021_P2,5021-96CD635,5. P2-WOF-Fr.jpg,1395,1031,1444,1984,1485
5021_P3,5021-96CD635,9. P3-WOF-Fr.jpg,1584,1157,1507,1293,1644
5025_P1,5025-BTx642_Tx7000NILStg1,1. P1-WOF-Fr.jpg,1814,1452,1669,1549,1851
5025_P2,5025-BTx642_Tx7000NILStg1,5. P2-WOF-Fr.jpg,1694,1278,1515,1677,1754
5025_P3,5025-BTx642_Tx7000NILStg1,9. P3-WOF-Fr.jpg,1664,1208,1270,1971,1707
5025_P4,5025-BTx642_Tx7000NILStg1,13. P4-WOF-Fr.jpg,2368,1481,1672,2384,2438
5029_P1,5029-RLBF1,1. P1-WOF-Fr.jpg,1394,1504,1721,1287,1826
5029_P2,5029-RLBF1,5. P2-WOF-Fr.jpg,973,1038,1205,988,974
5029_P3,5029-RLBF1,9. P3-WOF-Fr.jpg,1364,1444,1548,1621,1415
5029_P4,5029-RLBF1,13. P4-WOF-Fr.jpg,1721,1259,1540,1648,1965
5033_P1,5033-SC1154-14E,1. P1-WOF-Fr.jpg,587,331,1174,838,540
5033_P2,5033-SC1154-14E,5. P2-WOF-Fr.jpg,597,458,1313,811,849
5033_P3,5033-SC1154-14E,9. P3-WOF-Fr.jpg,346,293,1140,446,848
5033_P4,5033-SC1154-14E,13. P4-WOF-Fr.jpg,461,349,1327,1122,351
5037_P1,5037-Tx7000,1. P1-WOF-Fr.jpg,1559,1285,1354,1784,1692
5037_P2,5037-Tx7000,5. P2-WOF-Fr.jpg,1707,1641,1896,1369,1839
5037_P3,5037-Tx7000,9. P3-WOF-Fr.jpg,2394,1557,1890,2432,2554
5037_P4,5037-Tx7000,13. P4-WOF-Fr.jpg,1717,1952,1978,1658,1540
5041_P1,5041-BTx623,1. P1-WOF-Fr.jpg,1186,824,1458,1499,1053
5041_P2,5041-BTx623,5. P2-WOF-Fr.jpg,1275,967,1773,1240,1510
5041_P3,5041-BTx623,9. P3-WOF-Fr.jpg,2489,1342,1990,2454,2539
5041_P4,5041-BTx623,13. P4-WOF-Fr.jpg,1261,784,1573,1494,1442
5045_P1,5045-6085-9,1. P1-WOF-Fr.jpg,1763,1459,1662,2013,1906
5045_P2,5045-6085-9,5. P2-WOF-Fr.jpg,1070,955,1259,974,1081
5045_P3,5045-6085-9,9. P3-WOF-Fr.jpg,1254,1076,1397,1315,1432
5045_P4,5045-6085-9,13. P4-WOF-Fr.jpg,1734,1455,1582,1712,1869
5049_P1,5049-96CD635,1. P1-WOF-Fr.jpg,1332,884,1359,1319,1306
5049_P2,5049-96CD635,5. P2-WOF-Fr.jpg,1798,1477,1794,2228,2249
5049_P3,5049-96CD635,9. P3-WOF-Fr.jpg,945,893,1678,1193,1207
5049_P4,5049-96CD635,13. P4-WOF-Fr.jpg,1948,1381,1912,1740,1754
5053_P1,5053-96CD635,1. P1-WOF-Fr.jpg,1604,1205,1557,1882,1829
5053_P2,5053-96CD635,5. P2-WOF-Fr.jpg,2138,1481,1795,2603,1967
5053_P3,5053-96CD635,9. P3-WOF-Fr.jpg,1482,1191,1760,1798,1747
5053_P4,5053-96CD635,13. P4-WOF-Fr.jpg,2162,1382,2046,1876,2426
5057_P1,5057-Tx2882,1. P1-WOF-Fr.jpg,971,1154,1635,1034,965
5057_P2,5057-Tx2882,5. P2-WOF-Fr.jpg,855,879,1360,1291,1228
5057_P3,5057-Tx2882,9. P3-WOF-Fr.jpg,1094,1169,1210,1097,1327
5057_P4,5057-Tx2882,13. P4-WOF-Fr.jpg,1093,973,1384,1332,1410
5061_P1,5061-BTx623,1. P1-WOF-Fr.jpg,1308,1137,1765,1591,1821
5061_P2,5061-BTx623,5. P2-WOF-Fr.jpg,1173,1006,1500,1122,1262
5061_P3,5061-BTx623,9. P3-WOF-Fr.jpg,1424,1562,1982,1522,1380
5061_P4,5061-BTx623,13. P4-WOF-Fr.jpg,1259,1402,1965,723,1206
5069_P1,5069-RTx436,1. P1-WOF-Fr.jpg,2923,1556,2080,2652,2695
5069_P2,5069-RTx436,5. P2-WOF-Fr.jpg,2466,1537,2103,2406,2442
5069_P3,5069-RTx436,9. P3-WOF-Fr.jpg,2872,1453,1995,2561,2887
5069_P4,5069-RTx436,13. P4-WOF-Fr.jpg,2674,1372,2031,2977,2699
5073_P1,5073-B4R_BTx406_Rio,1. P1-WOF-Fr.jpg,2104,1317,1909,1843,2307
5073_P2,5073-B4R_BTx406_Rio,5. P2-WOF-Fr.jpg,1614,910,1426,1612,1705
5073_P3,5073-B4R_BTx406_Rio,9. P3-WOF-Fr.jpg,1751,995,1828,1851,2123
5073_P4,5073-B4R_BTx406_Rio,13. P4-WOF-Fr.jpg,1536,855,1485,1930,1579
6005_P1,6005-BTx623,1. P1-WOF-Fr.jpg,3765,900,2063,3313,1676
6005_P2,6005-BTx623,5. P2-WOF-Fr.jpg,2120,1159,1955,2390,2142
6005_P3,6005-BTx623,9. P3-WOF-Fr.jpg,2741,1836,2349,2703,2796
6005_P4,6005-BTx623,13. P4-WOF-Fr.jpg,2451,1897,2361,2243,2527
6009_P1,6009-B10001,1. P1-WOF-Fr.jpg,2445,915,1506,2534,2544
6009_P2,6009-B10001,5. P2-WOF-Fr.jpg,2241,1048,1738,2299,2359
6009_P3,6009-B10001,9. P3-WOF-Fr.jpg,2822,1617,2112,2650,2976
6009_P4,6009-B10001,13. P4-WOF-Fr.jpg,2041,1211,1588,2095,2087
6013_P1,6013-SC1154-14E,1. P1-WOF-Fr.jpg,1052,611,1459,1126,1087
6013_P2,6013-SC1154-14E,5. P2-WOF-Fr.jpg,1010,650,1389,1191,1047
6013_P3,6013-SC1154-14E,9. P3-WOF-Fr.jpg,1356,789,1404,1610,1398
6013_P4,6013-SC1154-14E,13. P4-WOF-Fr.jpg,1218,573,1755,1678,1264
6017_P1,6017-P898012,1. P1-WOF-Fr.jpg,1313,821,1293,1182,1358
6017_P2,6017-P898012,5. P2-WOF-Fr.jpg,1000,591,1479,1597,1053
6017_P3,6017-P898012,9. P3-WOF-Fr.jpg,1619,931,1631,1306,1690
6017_P4,6017-P898012,13. P4-WOF-Fr.jpg,1902,1027,2007,1927,1958
6021_P1,6021-B4R_BTx406_RIO,1. P1-WOF-Fr.jpg,1285,799,1634,1532,1358
6021_P2,6021-B4R_BTx406_RIO,5. P2-WOF-Fr.jpg,1927,1487,1727,2038,2001
6021_P3,6021-B4R_BTx406_RIO,9. P3-WOF-Fr.jpg,1388,844,1702,1375,1451
6021_P4,6021-B4R_BTx406_RIO,13. P4-WOF-Fr.jpg,1228,761,1452,1318,1315
6025_P1,6025-2290-19_Stg3NIL,1. P1-WOF-Fr.jpg,1628,1301,1869,1614,1767
6025_P2,6025-2290-19_Stg3NIL,5. P2-WOF-Fr.jpg,1930,1391,1838,1862,2016
6025_P3,6025-2290-19_Stg3NIL,9. P3-WOF-Fr.jpg,2552,1504,1997,2708,2713
