plot,id,img_name,Mach_Count,Spr_Count_Adj
3069-BTx2752,3069_P2,5. P2-WOF-Fr.jpg,2991,2820
3069-BTx2752,3069_P3,9. P3-WOF-Fr.jpg,2920,3048
3069-BTx2752,3069_P4,13. P4-WOF-Fr.jpg,2935,2940
3073-BTx615,3073_P1,1. P1-WOF-Fr.jpg,2166,2083
3073-BTx615,3073_P2,5. P2-WOF-Fr.jpg,1700,1884
3073-BTx615,3073_P3,9. P3-WOF-Fr.jpg,1442,1570
3073-BTx615,3073_P4,13. P4-WOF-Fr.jpg,2020,2261
4029-2290-19_Stg3NIL,4029_P1,1. P1-WOF-Fr.jpg,943,964
4029-2290-19_Stg3NIL,4029_P2,5. P2-WOF-Fr.jpg,964,1060
4029-2290-19_Stg3NIL,4029_P3,9. P3-WOF-Fr.jpg,1154,1215
4029-2290-19_Stg3NIL,4029_P4,13. P4-WOF-Fr.jpg,1654,1438
4033-SC56,4033_P1,1. P1-WOF-Fr.jpg,1000,1220
4033-SC56,4033_P2,5. P2-WOF-Fr.jpg,711,957
4033-SC56,4033_P3,9. P3-WOF-Fr.jpg,598,804
4033-SC56,4033_P4,13. P4-WOF-Fr.jpg,652,802
4037-Macia,4037_P1,1. P1-WOF-Fr.jpg,2493,2191
4037-Macia,4037_P2,5. P2-WOF-Fr.jpg,1904,1873
4037-Macia,4037_P3,9. P3-WOF-Fr.jpg,2361,2294
4037-Macia,4037_P4,13. P4-WOF-Fr.jpg,2308,2153
4045-BTx615,4045_P1,1. P1-WOF-Fr.jpg,1495,1564
4045-BTx615,4045_P2,5. P2-WOF-Fr.jpg,1113,1342
4045-BTx615,4045_P3,9. P3-WOF-Fr.jpg,1715,2180
4045-BTx615,4045_P4,13. P4-WOF-Fr.jpg,915,1119
4049-B10001,4049_P1,1. P1-WOF-Fr.jpg,2023,2118
4049-B10001,4049_P2,5. P2-WOF-Fr.jpg,1842,1889
4049-B10001,4049_P3,9. P3-WOF-Fr.jpg,1932,1590
4049-B10001,4049_P4,13. P4-WOF-Fr.jpg,1592,1678
4053-SC35-14E,4053_P2,5. P2-WOF-Fr.jpg,197,460
4053-SC35-14E,4053_P3,9. P3-WOF-Fr.jpg,276,1023
4053-SC35-14E,4053_P4,13. P4-WOF-Fr.jpg,185,397
4057-SC326-6,4057_P1,1. P1-WOF-Fr.jpg,2688,2716
4057-SC326-6,4057_P2,5. P2-WOF-Fr.jpg,2732,2686
4057-SC326-6,4057_P3,9. P3-WOF-Fr.jpg,2409,2167
4057-SC326-6,4057_P4,13. P4-WOF-Fr.jpg,2493,2716
4061-KS19,4061_P1,1. P1-WOF-Fr.jpg,965,1282
4061-KS19,4061_P2,5. P2-WOF-Fr.jpg,1151,1455
4061-KS19,4061_P3,9. P3-WOF-Fr.jpg,1297,1235
4061-KS19,4061_P4,13. P4-WOF-Fr.jpg,995,1443
4065-M10P0052_BTx623,4065_P1,1. P1-WOF-Fr.jpg,1000,871
4065-M10P0052_BTx623,4065_P2,5. P2-WOF-Fr.jpg,1260,1510
4065-M10P0052_BTx623,4065_P3,9. P3-WOF-Fr.jpg,971,1583
4065-M10P0052_BTx623,4065_P4,13. P4-WOF-Fr.jpg,1153,1091
4069-Tx7000,4069_P1,1. P1-WOF-Fr.jpg,1643,1612
4069-Tx7000,4069_P2,5. P2-WOF-Fr.jpg,1976,2044
4069-Tx7000,4069_P3,9. P3-WOF-Fr.jpg,2013,1953
4069-Tx7000,4069_P4,13. P4-WOF-Fr.jpg,1470,1257
4073-BTx642_Tx7000,4073_P1,1. P1-WOF-Fr.jpg,1458,1579
4073-BTx642_Tx7000,4073_P2,5. P2-WOF-Fr.jpg,1269,1179
4073-BTx642_Tx7000,4073_P3,9. P3-WOF-Fr.jpg,1176,1412
4073-BTx642_Tx7000,4073_P4,13. P4-WOF-Fr.jpg,1373,1301
5029-RLBF1,5029_P1,1. P1-WOF-Fr.jpg,1394,1826
5029-RLBF1,5029_P2,5. P2-WOF-Fr.jpg,973,974
5029-RLBF1,5029_P3,9. P3-WOF-Fr.jpg,1364,1415
5029-RLBF1,5029_P4,13. P4-WOF-Fr.jpg,1721,1965
5033-SC1154-14E,5033_P1,1. P1-WOF-Fr.jpg,587,540
5033-SC1154-14E,5033_P2,5. P2-WOF-Fr.jpg,597,849
5033-SC1154-14E,5033_P3,9. P3-WOF-Fr.jpg,346,848
5033-SC1154-14E,5033_P4,13. P4-WOF-Fr.jpg,461,351
5037-Tx7000,5037_P1,1. P1-WOF-Fr.jpg,1559,1692
5037-Tx7000,5037_P2,5. P2-WOF-Fr.jpg,1707,1839
5037-Tx7000,5037_P3,9. P3-WOF-Fr.jpg,2394,2554
5037-Tx7000,5037_P4,13. P4-WOF-Fr.jpg,1717,1540
5041-BTx623,5041_P1,1. P1-WOF-Fr.jpg,1186,1053
5041-BTx623,5041_P2,5. P2-WOF-Fr.jpg,1275,1510
5041-BTx623,5041_P3,9. P3-WOF-Fr.jpg,2489,2539
5041-BTx623,5041_P4,13. P4-WOF-Fr.jpg,1261,1442
5045-6085-9,5045_P1,1. P1-WOF-Fr.jpg,1763,1906
5045-6085-9,5045_P2,5. P2-WOF-Fr.jpg,1070,1081
5045-6085-9,5045_P3,9. P3-WOF-Fr.jpg,1254,1432
5045-6085-9,5045_P4,13. P4-WOF-Fr.jpg,1734,1869
5049-96CD635,5049_P1,1. P1-WOF-Fr.jpg,1332,1306
5049-96CD635,5049_P2,5. P2-WOF-Fr.jpg,1798,2249
5049-96CD635,5049_P3,9. P3-WOF-Fr.jpg,945,1207
5049-96CD635,5049_P4,13. P4-WOF-Fr.jpg,1948,1754
5053-96CD635,5053_P1,1. P1-WOF-Fr.jpg,1604,1829
5053-96CD635,5053_P2,5. P2-WOF-Fr.jpg,2138,1967
5053-96CD635,5053_P3,9. P3-WOF-Fr.jpg,1482,1747
5053-96CD635,5053_P4,13. P4-WOF-Fr.jpg,2162,2426
5057-Tx2882,5057_P1,1. P1-WOF-Fr.jpg,971,965
5057-Tx2882,5057_P2,5. P2-WOF-Fr.jpg,855,1228
5057-Tx2882,5057_P3,9. P3-WOF-Fr.jpg,1094,1327
5057-Tx2882,5057_P4,13. P4-WOF-Fr.jpg,1093,1410
5061-BTx623,5061_P1,1. P1-WOF-Fr.jpg,1308,1821
5061-BTx623,5061_P2,5. P2-WOF-Fr.jpg,1173,1262
5061-BTx623,5061_P3,9. P3-WOF-Fr.jpg,1424,1380
5061-BTx623,5061_P4,13. P4-WOF-Fr.jpg,1259,1206
5069-RTx436,5069_P1,1. P1-WOF-Fr.jpg,2923,2695
5069-RTx436,5069_P2,5. P2-WOF-Fr.jpg,2466,2442
5069-RTx436,5069_P3,9. P3-WOF-Fr.jpg,2872,2887
5069-RTx436,5069_P4,13. P4-WOF-Fr.jpg,2674,2699
5073-B4R_BTx406_Rio,5073_P1,1. P1-WOF-Fr.jpg,2104,2307
5073-B4R_BTx406_Rio,5073_P2,5. P2-WOF-Fr.jpg,1614,1705
5073-B4R_BTx406_Rio,5073_P3,9. P3-WOF-Fr.jpg,1751,2123
5073-B4R_BTx406_Rio,5073_P4,13. P4-WOF-Fr.jpg,1536,1579
6029-SN72_PinkKafir,6029_P1,1. P1-WOF-Fr.jpg,1617,2264
6029-SN72_PinkKafir,6029_P2,5. P2-WOF-Fr.jpg,1648,1861
6029-SN72_PinkKafir,6029_P3,9. P3-WOF-Fr.jpg,1882,1764
6029-SN72_PinkKafir,6029_P4,13. P4-WOF-Fr.jpg,2631,2384
6033-SC328,6033_P1,1. P1-WOF-Fr.jpg,1051,1303
6033-SC328,6033_P2,5. P2-WOF-Fr.jpg,896,1021
6033-SC328,6033_P3,9. P3-WOF-Fr.jpg,581,934
6033-SC328,6033_P4,13. P4-WOF-Fr.jpg,1251,1478
6037-SC348,6037_P1,1. P1-WOF-Fr.jpg,1172,1296
6037-SC348,6037_P2,5. P2-WOF-Fr.jpg,1355,1299
6037-SC348,6037_P3,9. P3-WOF-Fr.jpg,980,830
6037-SC348,6037_P4,13. P4-WOF-Fr.jpg,984,1053
6041-RTx2536,6041_P1,1. P1-WOF-Fr.jpg,1198,1510
6041-RTx2536,6041_P2,5. P2-WOF-Fr.jpg,2033,2118
6041-RTx2536,6041_P3,9. P3-WOF-Fr.jpg,1836,1644
6041-RTx2536,6041_P4,13. P4-WOF-Fr.jpg,2698,2699
6045-BTx623_DW1,6045_P1,1. P1-WOF-Fr.jpg,961,1203
6045-BTx623_DW1,6045_P2,5. P2-WOF-Fr.jpg,875,867
6045-BTx623_DW1,6045_P3,9. P3-WOF-Fr.jpg,600,836
6045-BTx623_DW1,6045_P4,13. P4-WOF-Fr.jpg,439,674
6049-SC326-6,6049_P1,1. P1-WOF-Fr.jpg,2441,2201
6049-SC326-6,6049_P2,5. P2-WOF-Fr.jpg,2876,2894
6049-SC326-6,6049_P3,9. P3-WOF-Fr.jpg,2943,2995
6049-SC326-6,6049_P4,13. P4-WOF-Fr.jpg,3039,3187
6053-SC1154-14E,6053_P1,1. P1-WOF-Fr.jpg,256,716
