id,plot,img_name,Mach_Count,Pan_Count,Reg_Count
6005_P2,6005-BTx623,5. P2-WOF-Fr.jpg,2120,1159,1955
6005_P3,6005-BTx623,9. P3-WOF-Fr.jpg,2741,1836,2349
6005_P4,6005-BTx623,13. P4-WOF-Fr.jpg,2451,1897,2361
6009_P1,6009-B10001,1. P1-WOF-Fr.jpg,2445,915,1506
6009_P2,6009-B10001,5. P2-WOF-Fr.jpg,2241,1048,1738
6009_P3,6009-B10001,9. P3-WOF-Fr.jpg,2822,1617,2112
6009_P4,6009-B10001,13. P4-WOF-Fr.jpg,2041,1211,1588
6013_P1,6013-SC1154-14E,1. P1-WOF-Fr.jpg,1052,611,1459
6013_P2,6013-SC1154-14E,5. P2-WOF-Fr.jpg,1010,650,1389
6013_P3,6013-SC1154-14E,9. P3-WOF-Fr.jpg,1356,789,1404
6013_P4,6013-SC1154-14E,13. P4-WOF-Fr.jpg,1218,573,1755
6017_P1,6017-P898012,1. P1-WOF-Fr.jpg,1313,821,1293
6017_P2,6017-P898012,5. P2-WOF-Fr.jpg,1000,591,1479
6017_P3,6017-P898012,9. P3-WOF-Fr.jpg,1619,931,1631
6017_P4,6017-P898012,13. P4-WOF-Fr.jpg,1902,1027,2007
6021_P1,6021-B4R_BTx406_RIO,1. P1-WOF-Fr.jpg,1285,799,1634
6021_P2,6021-B4R_BTx406_RIO,5. P2-WOF-Fr.jpg,1927,1487,1727
6021_P3,6021-B4R_BTx406_RIO,9. P3-WOF-Fr.jpg,1388,844,1702
6021_P4,6021-B4R_BTx406_RIO,13. P4-WOF-Fr.jpg,1228,761,1452
6025_P1,6025-2290-19_Stg3NIL,1. P1-WOF-Fr.jpg,1628,1301,1869
6025_P2,6025-2290-19_Stg3NIL,5. P2-WOF-Fr.jpg,1930,1391,1838
6025_P3,6025-2290-19_Stg3NIL,9. P3-WOF-Fr.jpg,2552,1504,1997
6025_P4,6025-2290-19_Stg3NIL,13. P4-WOF-Fr.jpg,1788,1161,1737
6029_P1,6029-SN72_PinkKafir,1. P1-WOF-Fr.jpg,1617,950,1114
6029_P2,6029-SN72_PinkKafir,5. P2-WOF-Fr.jpg,1648,1241,1534
6029_P3,6029-SN72_PinkKafir,9. P3-WOF-Fr.jpg,1882,1211,1518
6029_P4,6029-SN72_PinkKafir,13. P4-WOF-Fr.jpg,2631,1590,1851
6033_P1,6033-SC328,1. P1-WOF-Fr.jpg,1051,1100,2167
6033_P2,6033-SC328,5. P2-WOF-Fr.jpg,896,896,2047
6033_P3,6033-SC328,9. P3-WOF-Fr.jpg,581,633,1704
6033_P4,6033-SC328,13. P4-WOF-Fr.jpg,1251,1311,2555
6037_P1,6037-SC348,1. P1-WOF-Fr.jpg,1172,601,1393
6037_P2,6037-SC348,5. P2-WOF-Fr.jpg,1355,1099,1305
6037_P3,6037-SC348,9. P3-WOF-Fr.jpg,980,767,1445
6037_P4,6037-SC348,13. P4-WOF-Fr.jpg,984,765,1151
6041_P1,6041-RTx2536,1. P1-WOF-Fr.jpg,1198,1330,1961
6041_P2,6041-RTx2536,5. P2-WOF-Fr.jpg,2033,1239,1943
6041_P3,6041-RTx2536,9. P3-WOF-Fr.jpg,1836,1089,1040
6041_P4,6041-RTx2536,13. P4-WOF-Fr.jpg,2698,1598,2123
6045_P1,6045-BTx623_DW1,1. P1-WOF-Fr.jpg,961,871,1811
6045_P2,6045-BTx623_DW1,5. P2-WOF-Fr.jpg,875,713,1535
6045_P3,6045-BTx623_DW1,9. P3-WOF-Fr.jpg,600,833,1776
6045_P4,6045-BTx623_DW1,13. P4-WOF-Fr.jpg,439,291,983
6049_P1,6049-SC326-6,1. P1-WOF-Fr.jpg,2441,1164,1747
6049_P2,6049-SC326-6,5. P2-WOF-Fr.jpg,2876,1041,1425
6049_P3,6049-SC326-6,9. P3-WOF-Fr.jpg,2943,1448,1680
6049_P4,6049-SC326-6,13. P4-WOF-Fr.jpg,3039,1232,1725
6053_P1,6053-SC1154-14E,1. P1-WOF-Fr.jpg,256,231,1034
6053_P2,6053-SC1154-14E,5. P2-WOF-Fr.jpg,445,515,1061
6053_P3,6053-SC1154-14E,9. P3-WOF-Fr.jpg,406,595,1027
6053_P4,6053-SC1154-14E,13. P4-WOF-Fr.jpg,553,596,1166
6057_P1,6057-BTx642,1. P1-WOF-Fr.jpg,442,417,1276
6057_P2,6057-BTx642,5. P2-WOF-Fr.jpg,526,297,1203
6057_P3,6057-BTx642,9. P3-WOF-Fr.jpg,521,327,1183
6057_P4,6057-BTx642,13. P4-WOF-Fr.jpg,1055,389,1384
6061_P1,6061-R11018,1. P1-WOF-Fr.jpg,1220,817,1442
6061_P2,6061-R11018,5. P2-WOF-Fr.jpg,1441,1374,2062
6061_P3,6061-R11018,9. P3-WOF-Fr.jpg,1480,1165,1712
6061_P4,6061-R11018,13. P4-WOF-Fr.jpg,1016,819,1556
